the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
also  #86  adv. 也；而且；同样 conj. 并且；另外 n. (Also)人名；(罗)阿尔索
new  #87  adj. 新的，新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽
because  #88  conj. 因为
day  #89  n. 一天；时期；白昼 adv. 每天；经常在白天地 adj. 日间的；逐日的 n. (Day)人名；(英、法、西)戴；(越)岱；(阿拉伯、土)达伊
more  #90  adv. 更多；此外；更大程度地 adj. 更多的；附加的 pron. 更多的数量 n. 更多 n. (More)人名；(英、法)莫尔；(意、西、以)莫雷
use  #91  n. 使用；用途；发挥 vt. 利用；耗费 vi. 使用，运用 n. (Use)人名；(德)乌泽
no  #92  adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号 n. (No)人名；(柬)诺；(越)努
man  #93  n. 人；男人；人类；丈夫；雇工 vt. 操纵；给…配置人员；使增强勇气；在…就位 n. (Man)人名；(俄)马恩；(英、葡、意、罗、捷、尼、老、缅、柬)曼；(日)万 (名)
find  #94  vt. 查找，找到；发现；认为；感到；获得 vi. 裁决 n. 发现 n. (Find)人名；(丹)芬
here  #95  adv. 在这里；此时 int. 嘿！；喂！ n. 这里 n. (Here)人名；(罗)赫尔施
thing  #96  n. 事情；东西；事物；情况
give  #97  vt. 给；产生；让步；举办；授予 n. 弹性；弯曲；伸展性 vi. 捐赠；面向；有弹性；气候转暖 n. (Give)人名；(意)吉韦
many  #98  pron. 许多；许多人 adj. 许多的 n. (Many)人名；(法)马尼
well  #99  adv. 很好地；充分地；满意地；适当地 adj. 良好的；健康的；适宜的 n. 井；源泉 v. 涌出  n. (Well)人名；(英、德、荷)韦尔
only  #100  adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
those  #101  adj. 那些的 pron. 那些（that的复数）
tell  #102  vt. 告诉，说；辨别；吩咐；断定 vi. 讲述；告发，泄密；识别 n. (Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒
one  #103  pron. 一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个 n. (One)人名；(老)温
very  #104  adj. 恰好是，正是；甚至；十足的；特有的 adv. 非常，很；完全 n. (Very)人名；(英)维里
her  #105  pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船） n. （法）埃尔（人名）
even  #106  adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 vt. 使平坦；使相等 vi. 变平；变得可比较；成为相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文
back  #107  n. 后面；背部；靠背；足球等的后卫；书报等的末尾 vt. 支持；后退；背书；下赌注 vi. 后退；背靠；倒退 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的 n. (Back)人名；(西、英、德、法、瑞典、捷)巴克
any  #108  adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼
good  #109  adj. 好的；优良的；愉快的；虔诚的 n. 好处；善行；慷慨的行为 adv. 好 n. (Good)人名；(英)古德；(瑞典)戈德
woman  #110  n. 妇女；女性；成年女子
through  #111  prep. 通过；穿过；凭借 adv. 彻底；从头至尾 adj. 直达的；过境的；完结的
us  #112  pron. 我们
life  #113  n. 生活，生存；寿命
child  #114  n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子 n. （英）蔡尔德（人名）
there  #115  adv. 在那里；在那边；在那点上 int. 你瞧 n. 那个地方
work  #116  n. 工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品 vt. 使工作；操作；经营；使缓慢前进 vi. 工作；运作；起作用 n. （英、埃塞）沃克（人名）
down  #117  adv. 向下，下去；在下面；下降；下跌；减弱 adj. 向下的；悲哀；沮丧；停机；停止运行 n. 软毛，绒毛；[地质] 开阔的高地 prep. 沿着，往下；贯穿…时间；遍及…时期 vt. 打倒，击败；吃下；喝下 vi. 打倒，击败
may  #118  aux. 可以，能够；可能，也许；祝，愿；会，能
after  #119  adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
should  #120  aux. 应该；就；可能；将要
call  #121  vi. 呼叫；拜访；叫牌 vt. 呼叫；称呼；召集 n. 电话；呼叫；要求；访问 n. (Call)人名；(瑞典、罗)卡尔；(英)考尔
world  #122  n. 世界；领域；世俗；全人类；物质生活
over  #123  adv. 结束；越过；从头到尾 prep. 越过；在…之上；遍于…之上 adj. 结束的；上面的 vt. 越过 n. (Over)人名；(俄、西、土)奥韦尔
school  #124  n. 学校；学院；学派；鱼群 vt. 教育
still  #125  adv. 仍然；更；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的 n. 寂静；剧照；蒸馏室 conj. 仍然；但是；尽管如此 vt. 蒸馏；使…静止；使…平静下来 vi. 静止；平静；蒸馏 n. (Still)人名；(英、芬、瑞典)斯蒂尔；(德)施蒂尔
try  #126  vt. 试图，努力；试验；审判；考验 vi. 尝试；努力；试验 n. 尝试；努力；试验 n. (Try)人名；(英、印尼)特里；(柬)德里
in  #127  prep. 按照（表示方式）；从事于；在…之内 adv. 进入；当选；（服装等）时髦；在屋里 adj. 在里面的；时髦的 n. 执政者；门路；知情者 n. (In)人名；(中)演(广东话·威妥玛)；(柬)殷(用于名字第一节)， 因；(日)寅 (名)
as  #128  conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
last  #129  n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；仅剩的；最不可能…的 vi. 持续；维持，够用；持久 vt. 度过，拖过；使维持 adv. 最后地；上次，最近；最后一点 n. (Last)人名；(英、德、葡、罗、瑞典)拉斯特
ask  #130  vt. 问，询问；要求；需要；邀请；讨价 vi. 问，询问；要求 n. (Ask)人名；(芬、瑞典)阿斯克
need  #131  n. 需要，要求；缺乏；必要之物 vt. 需要 vi. 需要
too  #132  adv. 太；也；很；还；非常；过度
feel  #133  vt. 感觉；认为；触摸；试探 vi. 觉得；摸索 n. 感觉；触摸
three  #134  n. 三，三个 num. 三 adj. 三的，三个的
when  #135  conj. 考虑到；既然；当…时；在…时；如果 adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时 pron. 那时；什么时侯 n. 时间，时候；日期；场合
state  #136  n. 国家；州；情形 vt. 规定；声明；陈述 adj. 国家的；州的；正式的 n. (State)人名；(罗、瑞典)斯塔特；(英)斯泰特
never  #137  adv. 从未；决不
become  #138  vi. 成为；变得；变成 vt. 适合；相称
between  #139  prep. 在…之间 adv. 在中间
high  #140  adj. 高的；高级的；崇高的；高音调的 n. 高水平；天空；由麻醉品引起的快感；高压地带 adv. 高；奢侈地 n. (High)人名；(英)海伊
really  #141  adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
something  #142  pron. 某事；某物 n. 重要的人；值得重视的事 adv. 非常；有点；大约 adj. 大约；有点象
most  #143  adv. 最；非常，极其；最多；几乎 adj. 大部分的，多数的；最多的 n. 大部分，大多数 n. (Most)人名；(德、俄、法、芬、捷、英)莫斯特
another  #144  adj. 又一，另一；另外的；不同的 pron. 另一个；又一个 prep. 另一个；另一个人
much  #145  adv. 非常，很 adj. 大量的 n. 许多，大量 pron. 许多，大量 n. (Much)人名；(德)穆赫；(英)马奇
family  #146  n. 家庭；亲属；家族；子女；[生]科；语族；[化]族 adj. 家庭的；家族的；适合于全家的
own  #147  vt. 拥有；承认 vi. 承认 adj. 自己的；特有的 n. 自己的 n. (Own)人名；(阿拉伯)奥恩
out  #148  adv. 出现；在外；出局；出声地；不流行地 adj. 外面的；出局的；下台的 n. 出局 prep. 向；离去 vi. 出来；暴露 vt. 使熄灭；驱逐
leave  #149  vt. 离开；留下；遗忘；委托 vi. 离开，出发；留下 n. 许可，同意；休假
put  #150  vt. 放；表达；移动；安置；赋予 vi. 出发；击；航行；发芽 n. 掷；笨蛋；投击；怪人 adj. 固定不动的 n. (Put)人名；(泰、缅)布
old  #151  adj. 陈旧的，古老的；年老的 n. 古时 n. (Old)人名；(英)奥尔德
while  #152  conj. 虽然；然而；当……的时候 n. 一会儿；一段时间 vt. 消磨；轻松地度过
mean  #153  adj. 平均的；卑鄙的；低劣的；吝啬的 vt. 意味；想要；意欲 n. 平均值 vi. 用意 n. (Mean)人名；(柬)棉
on  #154  adv. 向前地；作用中，行动中；继续着 prep. 向，朝……；关于；在……之上；在……时候 adj. 开着的；发生着的，正在进行中 n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁
keep  #155  vt. 保持；经营；遵守；饲养 vi. 保持；继续不断 n. 保持；生计；生活费 n. (Keep)人名；(英)基普
student  #156  n. 学生；学者 n. (Student)人名；(德)施图登特
why  #157  int. 哎呀！什么？ adv. 为什么
let  #158  vt. 允许，让；出租；假设；妨碍 vi. 出租；被承包 n. 障碍；出租屋 n. (Let)人名；(缅)莱；(俄)莱特
great  #159  adj. 伟大的，重大的；极好的，好的；主要的 n. 大师；大人物；伟人们
same  #160  adj. 相同的；同一的；上述的（通常与the连用）；无变化的 pron. 同样的事物或人（通常与the连用） adv. 同样地（通常与the连用） n. (Same)人名；(意)萨梅
big  #161  adj. 大的；重要的；量大的 adv. 大量地；顺利；夸大地 n. (Big)人名；(土)比格
group  #162  n. 组；团体 adj. 群的；团体的 vi. 聚合 vt. 把…聚集；把…分组
begin  #163  vt. 开始 vi. 开始；首先  n. (Begin)人名；(以、德)贝京；(英)贝让
seem  #164  vi. 似乎；像是；装作 n. (Seem)人名；(英)西姆
country  #165  n. 国家，国土；国民；乡下，农村；乡村；故乡 adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
help  #166  vt. 帮助；促进；治疗；补救 n. 帮助；补救办法；帮忙者；有益的东西 vi. 帮助；有用；招待 n. (Help)人名；(芬)海尔普
talk  #167  vt. 说；谈话；讨论 vi. 谈话；说闲话 n. 谈话；演讲；空谈
where  #168  adv. 在哪里 pron. 哪里 conj. 在…的地方 n. 地点
turn  #169  vt. 转动，使旋转；转弯；翻过来；兑换 vi. 转向；转变；转动 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止 n. (Turn)人名；(德、匈)图恩
problem  #170  n. 难题；引起麻烦的人 adj. 成问题的；难处理的
every  #171  adj. 每一的，每个的；每隔…的 n. (Every)人名；(英)埃夫里
start  #172  vt. 开始；启动 vi. 出发 n. 开始；起点
hand  #173  n. 手，手艺；帮助；指针；插手 vt. 传递，交给；支持；搀扶 n. (Hand)人名；(英、瑞典)汉德
might  #174  n. 力量；威力；势力 v. 可以；或许（may的过去式）；应该 aux. 可能；也许 n. (Might)人名；(英)迈特
American  #175  n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的
show  #176  vt. 显示；说明；演出；展出 vi. 显示；说明；指示 n. 显示；表演；炫耀 n. (Show)人名；(中)邵(普通话·威妥玛)；(英)肖
part  #177  n. 部分；角色；零件；一些；片段 vt. 分离；分配；分开 vi. 断裂；分手 adv. 部分地 adj. 部分的 n. (Part)人名；(英、瑞典)帕特；(泰)巴；(法)帕尔
about  #178  prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人 n. (About)人名；(法)阿布
against  #179  prep. 反对，违反；靠；倚；防备 adj. 不利的；对立的
place  #180  n. 地方；住所；座位 vt. 放置；任命；寄予 vi. 名列前茅；取得名次 n. (Place)人名；(罗)普拉切；(法)普拉斯；(英)普莱斯
over  #181  adv. 结束；越过；从头到尾 prep. 越过；在…之上；遍于…之上 adj. 结束的；上面的 vt. 越过 n. (Over)人名；(俄、西、土)奥韦尔
such  #182  adj. 这样的，如此的 n. (Such)人名；(英)萨奇；(德)祖赫
again  #183  adv. 又，此外；再一次；再说；增加 n. （英、保）阿盖恩
few  #184  adj. 很少的；几乎没有的 pron. 很少 n. 很少数 n. (Few)人名；(英)菲尤
case  #185  n. 情况；实例；箱 vt. 包围；把…装于容器中 n. (Case)人名；(英)凯斯；(西)卡塞；(法)卡斯
most  #186  adv. 最；非常，极其；最多；几乎 adj. 大部分的，多数的；最多的 n. 大部分，大多数 n. (Most)人名；(德、俄、法、芬、捷、英)莫斯特
week  #187  n. 周，星期
company  #188  n. 公司；陪伴，同伴；连队 vi. 交往 vt. 陪伴  n. (Company)人名；(西)孔帕尼；(英)康帕尼
where  #189  adv. 在哪里 pron. 哪里 conj. 在…的地方 n. 地点
system  #190  n. 制度，体制；系统；方法
each  #191  adj. 每；各自的 adv. 每个；各自 pron. 每个；各自
right  #192  adj. 正确的；直接的；右方的 vi. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地 vt. 纠正 n. (Right)人名；(英)赖特
program  #193  n. 程序；计划；大纲 vt. 用程序指令；为…制订计划；为…安排节目 vi. 编程序；安排节目；设计电脑程式
hear  #194  vt. 听到，听；听说；审理 vi. 听；听见
so  #195  adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. (So)人名；(柬)索
question  #196  n. 问题，疑问；询问；疑问句 vt. 询问；怀疑；审问 vi. 询问；怀疑；审问
during  #197  prep. 在…的时候，在…的期间 n. (During)人名；(法)迪兰；(瑞典、利比)杜林
work  #198  n. 工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品 vt. 使工作；操作；经营；使缓慢前进 vi. 工作；运作；起作用 n. （英、埃塞）沃克（人名）
play  #199  vt. 游戏；扮演；演奏；播放；同…比赛 vi. 演奏；玩耍；上演；参加比赛 n. 游戏；比赛；剧本 n. (Play)人名；(法、瑞典)普莱
government  #200  n. 政府；政体；管辖
run  #201  vi. 经营；奔跑；运转 vt. 管理，经营；运行；参赛 n. 奔跑；赛跑；趋向；奔跑的路程 n. (Run)人名；(塞)鲁恩
small  #202  adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的 adv. 小小地；卑鄙地 n. 小件物品；矮小的人 n. (Small)人名；(英)斯莫尔
number  #203  n. 数；（杂志等的）期；号码；数字；算术 vi. 计入；总数达到 vt. 编号；计入；数…的数目；使为数有限
off  #204  prep. 离开；脱落 adv. 切断；走开 adj. 远离的；空闲的
always  #205  adv. 永远，一直；总是；常常
move  #206  n. 移动；步骤；迁居 vi. 移动；搬家，迁移；离开 vt. 移动；感动
like  #207  vt. 喜欢；想；愿意 vi. 喜欢；希望 prep. 像；如同 adj. 同样的；相似的 n. 爱好；同样的人或物 adv. 可能 conj. 好像
night  #208  n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的
live  #209  adj. 活的；生动的；实况转播的；精力充沛的 vt. 经历；度过 vi. 活；居住；生存  n. (Live)人名；(法)利夫
Mr  #210  abbr. 先生（Mister）
point  #211  n. 要点；得分；标点；[机] 尖端 vt. 指向；弄尖；加标点于 vi. 表明；指向 n. (Point)人名；(法)普安
believe  #212  vi. 信任；料想；笃信宗教 vt. 相信；认为；信任
hold  #213  vt. 持有；拥有；保存；拘留；约束或控制 vi. 支持；有效；持续 n. 控制；保留 n. (Hold)人名；(英、德、捷)霍尔德 又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。 [ 过去式 held 过去分词 held或holden 现在分词 holding ]
today  #214  adv. 今天；现今 n. 今天；现今 n. (Today)人名；(英)托迪
bring  #215  vt. 拿来；带来；促使；引起；使某人处于某种情况或境地 n. (Bring)人名；(英、瑞典)布林
happen  #216  vi. 发生；碰巧；偶然遇到
next  #217  adv. 然后；下次；其次 adj. 下一个的；其次的；贴近的 n. 下一个 prep. 靠近；居于…之后
without  #218  prep. 没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面
before  #219  prep. 在…之前，先于 adv. 以前；在前 conj. 在…以前；在…之前
large  #220  adj. 大的；多数的；广博的 adv. 大大地；夸大地 n. 大 n. (Large)人名；(英)拉奇；(法)拉尔热
all  #221  adj. 全部的 adv. 全然地；越发 n. 全部 pron. 全部 n. (All)人名；(瑞典)阿尔；(英)奥尔
million  #222  n. 百万；无数 adj. 百万的；无数的 num. 百万 n. (Million)人名；(法、罗、埃塞)米利翁
must  #223  aux. 必须，一定；可以，应当；很可能 n. 绝对必要的事物；未发酵葡萄汁 n. (Must)人名；(匈)穆什特；(俄、瑞典)穆斯特
home  #224  n. 家，住宅；产地；家乡；避难所 adv. 在家，回家；深入地 adj. 国内的，家庭的；有效的 vt. 归巢，回家 n. (Home)人名；(德、芬)霍梅；(英、尼)霍姆
under  #225  prep. 低于，少于；在...之下 adv. 在下面；在下方 adj. 下面的；从属的
water  #226  n. 水；海水；雨水；海域，大片的水 vt. 使湿；供以水；给…浇水 vi. 加水；流泪；流口水 n. (Water)人名；(英)沃特
room  #227  n. 房间；空间；余地；机会；房间里所有的人 vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿 vi. 居住；住宿 n. （英）鲁姆（人名）；（俄）罗姆（人名）
write  #228  vi. 写，写字；写作，作曲；写信 vt. 写，书写；写信给；著述
mother  #229  n. 母亲；大娘；女修道院院长 vt. 生下；养育；像母亲般关怀或照管 adj. 母亲的；出生地的
area  #230  n. 区域，地区；面积；范围 n. (Area)人名；(西)阿雷亚
national  #231  adj. 国家的；国民的；民族的；国立的 n. 国民
money  #232  n. 钱；货币；财富 n. (Money)人名；(英)莫尼；(西、法)莫内
story  #233  n. 故事；小说；描述；新闻报道；来历；假话；层；一种测量单位（1 story 等于 3.3 米） vt. 用历史故事画装饰 vi. 说谎 n. (Story) 斯托里（人名）
young  #234  adj. 年轻的；初期的；没有经验的 n. 年轻人；（动物的）崽，仔 n. (Young)人名；(中)杨(广东话·威妥玛)；(柬)永；(英、葡)扬
